,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
0,"Vazquez Mena, Oscar",NANO 112 - Synthesis/Fabricatn/NanoEngSys (A),SP22,64,55,90.9%,98.2%,5.19,B+ (3.43),B+ (3.48),3.48,nano,11
1,"Tao, Andrea Rae",NANO 115L - NanoEngineering Laboratory (A),SP22,13,6,80.0%,100.0%,5.7,A (4.00),,,nano,11
2,"Cubukcu, Ertugrul",NANO 117 - Multi-scale Transport (A),SP22,24,9,88.9%,88.9%,6.72,B+ (3.63),B (3.23),3.23,nano,11
3,"Lipomi, Darren John",NANO 11 - Intro to NanoEngineering (A),WI22,48,24,87.0%,95.7%,6.33,B+ (3.38),B+ (3.53),3.53,nano,11
4,"Vecchio, Kenneth S",NANO 111 - Characterization/NanoEng Systm (A),WI22,27,14,92.9%,92.3%,7.36,B+ (3.36),B (3.06),3.06,nano,11
5,"Jahed Motlagh, Zeinab",NANO 114 - Prob and Stat Methods for Eng (A),WI22,19,19,84.2%,89.5%,5.97,B+ (3.50),,,nano,11
6,"Pascal, Tod A",NANO 110 - Modeling of Nanoscale Systems (A),FA21,58,54,71.7%,86.8%,10.35,B (3.08),B (3.01),3.01,nano,11
7,"Fenning, David",NANO 111 - Characterization/NanoEng Systm (A),FA21,31,19,83.3%,100.0%,5.94,B (3.22),B (3.23),3.23,nano,11
8,"Vazquez Mena, Oscar",NANO 119 - NanoEng System Design Seminar (A),FA21,5,5,100.0%,100.0%,2.1,A (4.00),,,nano,11
9,"Sirbuly, Donald",NANO 112 - Synthesis/Fabricatn/NanoEngSys (A),SP21,44,10,100.0%,100.0%,4.7,A- (3.80),B+ (3.52),3.52,nano,11
10,"Lipomi, Darren John",NANO 11 - Intro to NanoEngineering (A),WI21,37,23,100.0%,100.0%,6.67,A- (3.73),A- (3.75),3.75,nano,11
11,"Vecchio, Kenneth S",NANO 111 - Characterization/NanoEng Systm (A),WI21,37,24,72.7%,63.6%,6.93,B (3.10),B+ (3.44),3.44,nano,11
12,"Drews, Aaron",NANO 114 - Prob and Stat Methods for Eng (A),WI21,20,17,100.0%,100.0%,4.74,B+ (3.53),A- (3.76),3.76,nano,11
13,"Pascal, Tod A",NANO 110 - Modeling of Nanoscale Systems (A),FA20,37,35,79.4%,94.1%,8.09,B (3.21),B- (2.99),2.99,nano,11
14,"Tao, Andrea Rae",NANO 112 - Synthesis/Fabricatn/NanoEngSys (A),SP20,64,20,84.2%,94.7%,4.61,A- (3.76),B+ (3.41),3.41,nano,11
15,"Vecchio, Kenneth S",NANO 111 - Characterization/NanoEng Systm (A),WI20,56,24,68.2%,54.5%,6.59,B+ (3.64),B+ (3.52),3.52,nano,11
16,"Opatkiewicz, Justin Paul",NANO 114 - Prob and Stat Methods for Eng (A),WI20,13,11,80.0%,100.0%,9.41,B (3.00),,,nano,11
17,"Pascal, Tod A",NANO 110 - Modeling of Nanoscale Systems (A),FA19,61,54,75.9%,88.9%,11.35,B- (2.94),B (3.23),3.23,nano,11
18,"Opatkiewicz, Justin Paul",NANO 114 - Prob and Stat Methods for Eng (A),S219,8,7,100.0%,100.0%,9.64,B (3.14),,,nano,11
19,"Chen, Shaochen",NANO 112 - Synthesis/Fabricatn/NanoEngSys (A),SP19,67,30,83.3%,96.7%,3.03,B+ (3.47),B+ (3.52),3.52,nano,11
20,"Vecchio, Kenneth S",NANO 111 - Characterization/NanoEng Systm (A),WI19,63,18,72.2%,55.6%,4.39,B (3.17),B (3.12),3.12,nano,11
21,"Ong, Shyue Ping",NANO 114 - Prob and Stat Methods for Eng (A),WI19,18,15,93.3%,93.3%,5.17,B+ (3.33),,,nano,11
22,"Pascal, Tod A",NANO 110 - Modeling of Nanoscale Systems (A),FA18,61,30,64.3%,75.0%,7.21,B (3.29),C+ (2.65),2.65,nano,11
23,"Chen, Shaochen",NANO 112 - Synthesis/Fabricatn/NanoEngSys (A),SP18,43,16,75.0%,87.5%,2.63,A- (3.81),B+ (3.69),3.69,nano,11
24,"Fenning, David",NANO 111 - Characterization/NanoEng Systm (B),WI18,47,19,77.8%,77.8%,6.82,B (3.06),B (3.13),3.13,nano,11
25,"Ong, Shyue Ping",NANO 114 - Prob and Stat Methods for Eng (A),WI18,14,8,100.0%,75.0%,6.5,B+ (3.38),,,nano,11
26,"Yang, Kesong",NANO 110 - Modeling of Nanoscale Systems (A),FA17,45,35,94.3%,97.1%,5.53,A- (3.76),A- (3.75),3.75,nano,11
27,"Chen, Shaochen",NANO 112 - Synthesis/Fabricatn/NanoEngSys (A),SP17,75,18,64.7%,70.6%,2.75,B+ (3.31),B+ (3.66),3.66,nano,11
28,"Fenning, David",NANO 111 - Characterization/NanoEng Systm (A),WI17,66,54,70.4%,66.7%,6.19,B (3.17),B (3.03),3.03,nano,11
29,"Ong, Shyue Ping",NANO 114 - Prob and Stat Methods for Eng (A),WI17,15,11,100.0%,100.0%,7.05,B (3.27),,,nano,11
30,"Arya, Gaurav",NANO 110 - Modeling of Nanoscale Systems (A),FA16,79,33,78.1%,87.5%,6.1,B+ (3.32),B (3.09),3.09,nano,11
31,"Opatkiewicz, Justin Paul",NANO 114 - Prob and Stat Methods for Eng (A),S116,15,12,83.3%,91.7%,6.67,B (3.25),,,nano,11
32,"Chen, Shaochen",NANO 112 - Synthesis/Fabricatn/NanoEngSys (A),SP16,68,22,63.6%,72.7%,3.23,B+ (3.50),B (3.16),3.16,nano,11
33,"Meng, Y.Shirley",NANO 111 - Characterization/NanoEng Systm (A),WI16,90,61,88.3%,78.3%,4.78,B+ (3.49),B+ (3.48),3.48,nano,11
34,"Ong, Shyue Ping",NANO 114 - Prob and Stat Methods for Eng (A),WI16,14,12,100.0%,100.0%,6.83,B+ (3.50),,,nano,11
35,"Arya, Gaurav",NANO 110 - Modeling of Nanoscale Systems (A),FA15,74,23,95.5%,81.8%,6.41,B+ (3.36),B (3.01),3.01,nano,11
36,"Opatkiewicz, Justin Paul",NANO 114 - Prob and Stat Methods for Eng (A),S215,16,13,92.3%,100.0%,9.0,B+ (3.38),,,nano,11
37,"Chen, Shaochen",NANO 112 - Synthesis/Fabricatn/NanoEngSys (A),SP15,66,19,89.5%,89.5%,3.55,B+ (3.47),B+ (3.42),3.42,nano,11
38,"Meng, Y.Shirley",NANO 111 - Characterization/NanoEng Systm (A),WI15,97,33,43.3%,33.3%,4.0,B+ (3.36),B+ (3.63),3.63,nano,11
39,"Ong, Shyue Ping",NANO 114 - Prob and Stat Methods for Eng (A),WI15,8,8,87.5%,87.5%,7.75,B+ (3.38),,,nano,11
40,"Arya, Gaurav",NANO 110 - Modeling of NanoEng Systems (A),FA14,83,34,71.9%,53.1%,6.05,B+ (3.52),B- (2.96),2.96,nano,11
41,"Chen, Shaochen",NANO 112 - Synthesis/Fabricatn/NanoEngSys (A),SP14,84,26,88.5%,92.3%,3.5,B+ (3.52),B+ (3.43),3.43,nano,11
42,"Meng, Y.Shirley",NANO 111 - Characterization/NanoEng Systm (A),WI14,99,29,78.6%,82.1%,4.94,B (3.30),B+ (3.55),3.55,nano,11
43,"Arya, Gaurav",NANO 110 - Modeling of NanoEng Systems (A),FA13,73,39,64.9%,40.5%,7.58,B+ (3.38),B (3.11),3.11,nano,11
44,"Chen, Shaochen",NANO 112 - Synthesis/Fabricatn/NanoEngSys (A),SP13,30,13,66.7%,66.7%,3.83,B+ (3.67),B+ (3.32),3.32,nano,11
45,"Meng, Y.Shirley",NANO 111 - Characterization/NanoEng Systm (A),WI13,26,9,66.7%,55.6%,3.83,B+ (3.67),A- (3.83),3.83,nano,11
46,"Arya, Gaurav",NANO 110 - Modeling of NanoEng Systems (A),FA12,23,14,92.3%,100.0%,5.27,B+ (3.46),B+ (3.37),3.37,nano,11
47,"Chen, Shaochen",NANO 112 - Synthesis/Fabricatn/NanoEngSys (A),SP12,15,9,100.0%,100.0%,4.72,A- (3.89),,,nano,11
48,"Meng, Y.Shirley",NANO 111 - Characterization/NanoEng Systm (A),WI12,8,6,100.0%,100.0%,6.83,B+ (3.40),,,nano,11
